pdb_id	Hchain	Lchain	antigen_chain
9bu6	A	B	D | C
9bu6	E	F	H | G
9bu6	I	J	L | K
9bu8	C	D	B | A
9bu8	F	H	L | J
9bu8	I	K	G | E
8rj7	B		A
8rj7	D		C
8rj7	F		E
8rj7	H		G
8rj7	J		I
8rql	S	s	A | B | G
8uzc	H	L	A
8zd5	H	I	G
8zd5	E	F	D
8zd5	B	C	A
8zd5	K	L	J
8zd6	B	C	A
8zd6	E	F	D
8zd6	H	I	G
8zd6	K	L	J
9f6o	B		A
9ivg	N		A | B
8zre	H	L	C | D
8zre	h	l	A | B
8zrh	h	l	A | B
8zrh	H	L	C | D
9bt8	H	L	B | V
9bt8	A		B
9cx3	H	L	B
9cx3	A		B | V
8jei	S	s	C | B
8p12	H	L	B | G
8rw9	D		E
8rwf	C		B
8rwf	E		D
8rwf	G		A
8x3l	S	s	A | B
9b9y	N		R
9bif	H	L	B
9bif	C	D	A
9bif	G	I	E
9bif	J	K	F
9bif	O	P	M
9bif	Q	R	N
9bif	U	V	S
9bif	W	X	T
9c44	H	L	A
9c44	E	D	B
9c44	F	G	C
9c45	H	L	A
9co6	E		B
9co6	F		C
9co6	D		A
9co7	E		B
9co7	D		A
9co8	E		B
9co8	F		C
9co8	D		A
9co9	D		B
9co9	E		A
9e6k	H	L	C
9ivk	H	L	A
8qz6	B		A
8qz6	D		C
8qz7	B		A
8qz7	D		C
8uwz	C	D	F
8uwz	A	B	E
8wwh	E	e	A | B
8wwi	E	e	A | B
8wwj	E	e	A | B
8wwk	E	e	A | B
8wwl	E	e	A | B
8wwm	E	e	A | B
8wwn	E	e	A | B
8wyj	Q	R	B
8wyj	S	T	B
8wyj	D	F	A
8wyj	E	G	A
8wyj	H	J	C
8wyj	I	K	C
8wz3	D	F	A
8wz3	E	H	B
8wz3	G	K	C
8wz5	H	L	A
8wz5	D	F	B
8wz5	E	G	C
8wze	H	L	C
8xcd	H	L	A
8xyd	E	e	D | B
8zrr	h	l	B | A
9axl	H	L	B
9b2c	H	L	A
9bdf	B	I	H
9bdf	C	D	A
9bdf	E	J	G
9bdg	D	G	B
9bdg	E	H	C
9bdg	F	I	A
9cx9	H	L	A | V
9dez	H	L	B
9dez	I	M	A
9dez	J	N	C
9df0	H	L	A
9dx6	B	C	A
9eot	B		A
9eot	D		C
8ulk	D	E	J | A
8ulk	H	L	K | B
8ulk	F	G	I | C
8k4s	D	d	A | B
8pxo	D	C	B
8pxo	F	E	A
8py4	D	C	B
8py4	F	E	A
8q7b	D	C	B
8q7b	F	E	A
8qcm	D	C	B
8qcm	F	E	A
8r40	R	r	G
8r40	A	a	C
8s79	C		B
8s79	D		A
8ulj	H	L	B | A
8vgn	A	B	I
8vgn	H	L	G
8vgo	A	B	I
8vgo	H	L	G
8wz4	H	L	C
8yh0	S	s	A | B
8yh2	S	s	A | B
8yh3	S	s	A | B
8yh5	S	s	A | B
8yh6	S	s	A | B
8ywq	H	L	A
8ywr	H	L	A
9ctu	D	C	A
9ctu	F	E	B
9ctw	D	C	A
9ctw	F	E	B
9fvb	C		A
9fvb	H		B
9fvc	H		A
9fvc	C		B
9fve	B		A
9fve	D		C
9fve	F		E
9fve	H		G
9fve	J		I
9fve	L		K
9fve	N		M
9fve	P		O
9fve	R		Q
9fve	T		Y
9fve	V		U
9fve	X		W
8vgl	H	L	C | B
8vgl	E	F	A | D
8vgm	H	L	C | D
8vgm	E	F	A | B
7lz6	C	D	A
7lz6	E	F	B
8rrn	H	L	A
8rrn	C	D	B
8us0	N	O	M
8us0	H	I	G
8us0	B	C	A
8us0	Q	R	P
8us0	E	F	D
8us0	K	L	J
8us8	H	L	R
8us8	A	B	R
8uxv	N		X | Y
8uxy	N		X | Y
8uy0	N		X | Y | Z
8uyq	N		X | Y | Z
8vgh	H	G	A
8vgh	F	E	C
8vgh	J	I	B
8vgh	K	L	D
8vgi	F	E	C
8vgi	H	G	A
8vgi	J	I	B
8vgi	K	L	D
8vgj	F	E	C
8vgj	H	G	A
8vgj	J	I	B
8vgj	K	L	D
8vgk	F	E	C
8vgk	H	G	A
8vgk	J	I	B
8vgk	K	L	D
8vgp	H	L	A
8vhf	N		A | B
8xgo	D	d	E | B
8xgs	D	d	E | B
8xgu	S	s	C | B
9fkd	H	L	B
9fww	B		A
9jub	B	C	A
8s6m	H	L	R
8s6m	I	M	R
8via	H	L	D | C
8yhz	H	L	P
9gwt	H	L	P
8udr	D	E	A | C
9au2	D	I	C
9au2	F	J	B | A
9bia	E		B | D
9bia	F		C | A
8rek	H	L	A
8up2	A	B	C
8up2	D	E	F
8ux6	D	C	F
8ux6	B	A	E
8wpw	A	B	R
8wpw	C	D	R
8wpw	H	L	R
